Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Odds Close,Away Odds Close,Winning Team,lat,long,Weather
2019-08-11,15:20:00,Richmond,Carlton,MCG,73,45,0,1.2,4.8,Richmond,28.4594965,77.0266383,0.0
2019-08-11,13:10:00,St Kilda,Fremantle,Marvel Stadium,72,69,0,1.48,2.75,St Kilda,-37.8165647,144.9475055,5.6
2019-08-10,19:25:00,Essendon,Western Bulldogs,Marvel Stadium,33,137,0,2.25,1.68,Western Bulldogs,-37.8165647,144.9475055,4.4
2019-08-10,19:25:00,Geelong,North Melbourne,GMHBA Stadium,69,14,0,1.33,3.5,Geelong,-38.1579979,144.354673,6.4
2019-08-10,16:35:00,Brisbane,Gold Coast,Gabba,144,53,0,1.03,15.0,Brisbane,-27.4858376,153.0380853,0.0
2019-08-10,13:40:00,Port Adelaide,Sydney,Adelaide Oval,103,56,0,1.33,3.5,Port Adelaide,-34.9156274,138.5963065,5.0
2019-08-10,13:45:00,Melbourne,Collingwood,MCG,53,70,0,2.62,1.52,Collingwood,28.4594965,77.0266383,0.0
2019-08-09,19:50:00,GWS Giants,Hawthorn,Manuka Oval,29,85,0,1.44,2.9,Hawthorn,-35.318133,149.134662,3.0
2019-08-04,16:00:00,Brisbane,Western Bulldogs,Gabba,98,80,0,1.36,3.3,Brisbane,-27.4858376,153.0380853,0.0
2019-08-04,15:20:00,Carlton,West Coast,Marvel Stadium,75,99,0,3.7,1.3,West Coast,-37.8165647,144.9475055,1.0
2019-08-04,13:10:00,Collingwood,Gold Coast,MCG,120,51,0,1.11,7.25,Collingwood,28.4594965,77.0266383,
2019-08-03,19:10:00,Adelaide,St Kilda,Adelaide Oval,92,70,0,1.33,3.5,Adelaide,-34.9156274,138.5963065,0.2
2019-08-03,19:25:00,Melbourne,Richmond,MCG,60,93,0,5.0,1.19,Richmond,28.4594965,77.0266383,
2019-08-03,14:35:00,Fremantle,Geelong,Optus Stadium,95,61,0,3.7,1.3,Fremantle,-31.9511355,115.8890382,0.0
2019-08-03,14:10:00,GWS Giants,Sydney,ENGIE Stadium,83,81,0,1.35,3.35,GWS Giants,-33.84306979999999,151.0676963,0.0
2019-08-03,13:45:00,Essendon,Port Adelaide,Marvel Stadium,67,126,0,1.65,2.3,Port Adelaide,-37.8165647,144.9475055,0.0
2019-08-02,19:50:00,North Melbourne,Hawthorn,Marvel Stadium,86,64,0,1.8,2.05,North Melbourne,-37.8165647,144.9475055,0.2
2019-07-28,16:30:00,Gold Coast,Essendon,People First Stadium,96,106,0,5.2,1.18,Essendon,-28.0063039,153.3671008,0.0
2019-07-28,15:20:00,Sydney,Geelong,Sydney Cricket Ground,80,107,0,2.68,1.5,Geelong,-33.8915316,151.2248515,0.0
2019-07-28,13:10:00,Western Bulldogs,Fremantle,Marvel Stadium,113,66,0,1.48,2.75,Western Bulldogs,-37.8165647,144.9475055,0.0
2019-07-27,19:10:00,Port Adelaide,GWS Giants,Adelaide Oval,55,56,0,1.8,2.05,GWS Giants,-34.9156274,138.5963065,0.0
2019-07-27,19:25:00,St Kilda,Melbourne,Marvel Stadium,104,85,0,1.97,1.87,St Kilda,-37.8165647,144.9475055,5.2
2019-07-27,14:35:00,West Coast,North Melbourne,Optus Stadium,121,72,0,1.48,2.75,West Coast,-31.9511355,115.8890382,10.4
2019-07-27,14:10:00,Carlton,Adelaide,MCG,87,60,0,2.5,1.56,Carlton,28.4594965,77.0266383,16.0
2019-07-27,13:45:00,Hawthorn,Brisbane,UTAS Stadium,60,87,0,1.8,2.05,Brisbane,-41.4259371,147.1391665,0.0
2019-07-26,19:50:00,Collingwood,Richmond,MCG,66,98,0,2.45,1.58,Richmond,28.4594965,77.0266383,0.5
2019-07-21,16:40:00,St Kilda,Western Bulldogs,Marvel Stadium,116,89,0,2.8,1.47,St Kilda,-37.8165647,144.9475055,0.0
2019-07-21,14:50:00,Melbourne,West Coast,Traeger Park,78,91,0,2.68,1.5,West Coast,-23.7090616,133.8750197,0.0
2019-07-21,13:10:00,Geelong,Hawthorn,MCG,61,85,0,1.4,3.1,Hawthorn,28.4594965,77.0266383,15.0
2019-07-20,18:10:00,Fremantle,Sydney,Optus Stadium,52,51,0,1.75,2.15,Fremantle,-31.9511355,115.8890382,13.2
2019-07-20,19:25:00,Brisbane,North Melbourne,Gabba,87,75,0,1.44,2.9,Brisbane,-27.4858376,153.0380853,0.0
2019-07-20,16:35:00,GWS Giants,Collingwood,ENGIE Stadium,122,75,0,2.1,1.77,GWS Giants,-33.84306979999999,151.0676963,0.0
2019-07-20,14:10:00,Carlton,Gold Coast,Marvel Stadium,99,75,0,1.17,5.4,Carlton,-37.8165647,144.9475055,0.0
2019-07-20,13:45:00,Richmond,Port Adelaide,MCG,101,63,0,1.38,3.2,Richmond,28.4594965,77.0266383,0.0
2019-07-19,19:20:00,Adelaide,Essendon,Adelaide Oval,75,96,0,1.33,3.5,Essendon,-34.9156274,138.5963065,0.0
2019-07-14,16:10:00,Port Adelaide,Brisbane,Adelaide Oval,49,97,0,1.42,3.0,Brisbane,-34.9156274,138.5963065,2.4
2019-07-14,15:20:00,Western Bulldogs,Melbourne,Marvel Stadium,74,66,0,1.8,2.05,Western Bulldogs,-37.8165647,144.9475055,3.4
2019-07-14,13:10:00,Richmond,GWS Giants,MCG,94,67,0,1.45,2.85,Richmond,28.4594965,77.0266383,
2019-07-13,19:25:00,Geelong,St Kilda,GMHBA Stadium,84,57,0,1.1,8.0,Geelong,-38.1579979,144.354673,1.4
2019-07-13,19:25:00,Gold Coast,Adelaide,People First Stadium,56,151,0,6.0,1.15,Adelaide,-28.0063039,153.3671008,0.0
2019-07-13,16:35:00,Essendon,North Melbourne,Marvel Stadium,86,81,0,2.02,1.83,Essendon,-37.8165647,144.9475055,2.8
2019-07-13,14:10:00,Hawthorn,Fremantle,UTAS Stadium,84,53,0,1.44,2.9,Hawthorn,-41.4259371,147.1391665,0.6
2019-07-13,13:45:00,Sydney,Carlton,Sydney Cricket Ground,62,69,0,1.25,4.15,Carlton,-33.8915316,151.2248515,0.4
2019-07-12,18:10:00,West Coast,Collingwood,Optus Stadium,77,78,0,1.27,4.0,Collingwood,-31.9511355,115.8890382,0.0
2019-07-07,16:40:00,GWS Giants,Brisbane,ENGIE Stadium,74,94,0,1.36,3.3,Brisbane,-33.84306979999999,151.0676963,0.4
2019-07-07,15:20:00,North Melbourne,St Kilda,Blundstone Arena,112,73,0,1.27,4.0,North Melbourne,-42.8772963,147.3740128,0.0
2019-07-07,13:10:00,Carlton,Melbourne,MCG,100,105,0,2.9,1.44,Melbourne,28.4594965,77.0266383,0.0
2019-07-06,18:10:00,Fremantle,West Coast,Optus Stadium,31,122,0,2.75,1.48,West Coast,-31.9511355,115.8890382,11.2
2019-07-06,19:25:00,Western Bulldogs,Geelong,Marvel Stadium,71,55,0,3.7,1.3,Western Bulldogs,-37.8165647,144.9475055,0.0
2019-07-06,16:35:00,Adelaide,Port Adelaide,Adelaide Oval,44,101,0,1.68,2.25,Port Adelaide,-34.9156274,138.5963065,0.0
2019-07-06,14:10:00,Gold Coast,Richmond,People First Stadium,58,150,0,5.0,1.19,Richmond,-28.0063039,153.3671008,3.2
2019-07-06,13:45:00,Essendon,Sydney,MCG,76,66,0,1.54,2.55,Essendon,28.4594965,77.0266383,24.9
2019-07-05,19:50:00,Hawthorn,Collingwood,MCG,67,63,0,2.75,1.48,Hawthorn,28.4594965,77.0266383,1.0
2019-06-30,15:20:00,Fremantle,Carlton,Optus Stadium,75,79,0,1.16,5.6,Carlton,-31.9511355,115.8890382,0.4
2019-06-30,15:20:00,Brisbane,Melbourne,Gabba,107,74,0,1.56,2.5,Brisbane,-27.4858376,153.0380853,0.6
2019-06-30,13:10:00,St Kilda,Richmond,Marvel Stadium,70,103,0,3.5,1.33,Richmond,-37.8165647,144.9475055,7.4
2019-06-29,19:10:00,Port Adelaide,Western Bulldogs,Adelaide Oval,41,66,0,1.33,3.5,Western Bulldogs,-34.9156274,138.5963065,12.6
2019-06-29,19:25:00,Collingwood,North Melbourne,Marvel Stadium,37,81,0,1.36,3.3,North Melbourne,-37.8165647,144.9475055,1.0
2019-06-29,16:35:00,Sydney,Gold Coast,Sydney Cricket Ground,93,51,0,1.12,6.25,Sydney,-33.8915316,151.2248515,0.0
