Date,Round,Venue,A_Team,B_Team,Winner
2012-03-31 19:45:00,1,Docklands,Essendon,North Melbourne,Essendon
2012-04-01 13:10:00,1,Docklands,West Coast,Western Bulldogs,West Coast
2012-04-01 16:40:00,1,Football Park,St Kilda,Port Adelaide,Port Adelaide
2012-04-05 19:40:00,2,Gabba,Carlton,Brisbane Lions,Carlton
2012-04-07 13:45:00,2,Docklands,Port Adelaide,Essendon,Essendon
2012-04-07 14:10:00,2,S.C.G.,Fremantle,Sydney,Sydney
2012-04-07 16:40:00,2,Subiaco,Melbourne,West Coast,West Coast
2012-04-07 19:40:00,2,Football Park,Western Bulldogs,Adelaide,Adelaide
2012-04-07 19:40:00,2,M.C.G.,Richmond,Collingwood,Collingwood
2012-04-08 13:10:00,2,Bellerive Oval,Greater Western Sydney,North Melbourne,North Melbourne
2012-04-08 16:40:00,2,Docklands,Gold Coast,St Kilda,St Kilda
2012-04-09 15:10:00,2,M.C.G.,Hawthorn,Geelong,Geelong
2012-04-13 19:50:00,3,M.C.G.,Collingwood,Carlton,Carlton
2012-04-14 13:45:00,3,M.C.G.,Melbourne,Richmond,Richmond
2012-04-14 14:10:00,3,Football Park,Sydney,Port Adelaide,Sydney
2012-04-14 16:40:00,3,Subiaco,Brisbane Lions,Fremantle,Fremantle
2012-04-14 19:40:00,3,Carrara,Essendon,Gold Coast,Essendon
2012-04-14 19:40:00,3,Docklands,St Kilda,Western Bulldogs,St Kilda
2012-04-15 13:10:00,3,Blacktown,West Coast,Greater Western Sydney,West Coast
2012-04-15 15:15:00,3,M.C.G.,Adelaide,Hawthorn,Hawthorn
2012-04-15 16:40:00,3,Docklands,Geelong,North Melbourne,North Melbourne
2012-04-20 19:50:00,4,Docklands,Fremantle,St Kilda,Fremantle
2012-04-21 13:45:00,4,M.C.G.,Essendon,Carlton,Essendon
2012-04-21 14:10:00,4,Docklands,Port Adelaide,Collingwood,Collingwood
2012-04-21 16:40:00,4,Football Park,Greater Western Sydney,Adelaide,Adelaide
2012-04-21 19:40:00,4,Gabba,Gold Coast,Brisbane Lions,Brisbane Lions
2012-04-21 19:40:00,4,Subiaco,Hawthorn,West Coast,West Coast
2012-04-22 13:10:00,4,GMHBA Stadium,Richmond,Geelong,Geelong
2012-04-22 15:15:00,4,S.C.G.,North Melbourne,Sydney,Sydney
